id,name,short_name,kind,material,price,description,delete_flg
5,Generic Wooden Towels,Mouse,Small,Metal,4428,still,0
6,Handcrafted Cotton Sausages,Computer,1,1,1,update,0
7,Handmade Wooden Towels,Chips,1,1,1,update,0
8,Licensed Metal Fish,Computer,Refined,Rubber,7437,delete_flg,1
9,Electronic Concrete Chair,Cheese,Incredible,Metal,1062,delete_flg,1
10,Incredible Metal Computer,Pants,Unbranded,Rubber,6368,delete_flg,1
11,Oriental Rubber Gloves,Hat,Electronic,Metal,7357,insert,0
12,Elegant Soft Pizza,Hat,Practical,Cotton,6231,insert,0
13,Sleek Plastic Salad,Soap,Refined,Frozen,9682,insert,0
14,Refined Fresh Sausages,Tuna,Ergonomic,Granite,3528,insert,0
15,Elegant Steel Ball,Bacon,Rustic,Metal,9283,insert,0
